Country_Hide,Number of Records,Area,Country,countrycode,Consumption Segment,Level,pce_lcu,pce_ppp,pce_usd,"Sector Category or Product",Region
Benin,1,National,Benin,BEN,Lowest,National,0.00,0.00,0.00,Other ICT goods and services,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,0.00,0.00,0.00,Financial Services,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,0.00,0.00,0.00,Water utilities,Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"7,195.68",24.62,14.53,"Appliances articles and products for personal care",Sub-Saharan Africa
Benin,1,National,Benin,BEN,Lowest,National,"10,456.29",35.77,21.11,Other,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"107,889.40",431.96,217.84,All categories,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"25,006.31",100.12,50.49,Grains,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,608.36,2.44,1.23,Dairy,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"3,510.98",14.06,7.09,Meat and fish,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"5,646.59",22.61,11.40,Fruits and vegetables,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"7,446.27",29.81,15.03,Caterig,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,959.49,3.84,1.94,Alcohol beverages,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"1,540.53",6.17,3.11,Non-Alcohol beverages,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"8,090.56",32.39,16.34,Other food,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"8,789.45",35.19,17.75,Clothes,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"2,291.44",9.17,4.63,Footwear,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"12,032.39",48.17,24.29,Housing,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,681.36,2.73,1.38,Electricity,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,109.24,0.44,0.22,Gas,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"3,506.75",14.04,7.08,"Other sources (coal firewood etc.)",Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"4,364.85",17.48,8.81,Vehicles and other transport services,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"3,770.50",15.10,7.61,Fuel,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,976.01,3.91,1.97,Pharmaceutical products,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"1,284.16",5.14,2.59,Medical goods and services,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"1,498.95",6.00,3.03,Education,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"3,640.25",14.57,7.35,Telephone equipment and services,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,243.81,0.98,0.49,Other ICT goods and services,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,12.93,0.05,0.03,Financial Services,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,934.62,3.74,1.89,Water utilities,Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"1,710.98",6.85,3.45,"Appliances articles and products for personal care",Sub-Saharan Africa
Burkina Faso,1,National,Burkina Faso,BFA,Lowest,National,"9,232.66",36.97,18.64,Other,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"227,961.60",685.24,460.27,All categories,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"33,752.78",101.46,68.15,Grains,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"1,573.74",4.73,3.18,Dairy,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"24,181.66",72.69,48.82,Meat and fish,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"44,931.00",135.06,90.72,Fruits and vegetables,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"4,880.19",14.67,9.85,Caterig,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"1,195.08",3.59,2.41,Alcohol beverages,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"1,318.31",3.96,2.66,Non-Alcohol beverages,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"8,989.14",27.02,18.15,Other food,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"13,463.53",40.47,27.18,Clothes,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"2,722.63",8.18,5.50,Footwear,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"22,288.14",67.00,45.00,Housing,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,634.30,1.91,1.28,Electricity,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,236.34,0.71,0.48,Gas,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"4,545.29",13.66,9.18,"Other sources (coal firewood etc.)",Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"11,422.11",34.33,23.06,Vehicles and other transport services,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"1,792.27",5.39,3.62,Fuel,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"6,516.25",19.59,13.16,Pharmaceutical products,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"4,341.65",13.05,8.77,Medical goods and services,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"3,426.80",10.30,6.92,Education,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"12,527.02",37.66,25.29,Telephone equipment and services,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"1,911.12",5.74,3.86,Other ICT goods and services,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,125.22,0.38,0.25,Financial Services,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"2,207.58",6.64,4.46,Water utilities,Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"2,984.50",8.97,6.03,"Appliances articles and products for personal care",Sub-Saharan Africa
Côte d'Ivoire,1,National,Côte d'Ivoire,CIV,Lowest,National,"15,995.00",48.08,32.30,Other,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"160,333.20",521.26,323.72,All categories,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"14,413.59",46.86,29.10,Grains,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"2,361.31",7.68,4.77,Dairy,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"14,133.70",45.95,28.54,Meat and fish,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"22,190.34",72.14,44.80,Fruits and vegetables,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"4,854.08",15.78,9.80,Caterig,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"4,987.80",16.22,10.07,Alcohol beverages,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"1,419.78",4.62,2.87,Non-Alcohol beverages,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"9,505.98",30.91,19.19,Other food,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"11,414.59",37.11,23.05,Clothes,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"3,284.20",10.68,6.63,Footwear,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"4,369.87",14.21,8.82,Housing,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"2,428.01",7.89,4.90,Electricity,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,592.38,1.93,1.20,Gas,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"11,833.35",38.47,23.89,"Other sources (coal firewood etc.)",Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"11,748.73",38.20,23.72,Vehicles and other transport services,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"1,128.92",3.67,2.28,Fuel,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"5,165.37",16.79,10.43,Pharmaceutical products,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"2,310.43",7.51,4.66,Medical goods and services,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"5,075.58",16.50,10.25,Education,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"4,609.28",14.99,9.31,Telephone equipment and services,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,677.41,2.20,1.37,Other ICT goods and services,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,58.56,0.19,0.12,Financial Services,Sub-Saharan Africa
